Type,Key,Summary,Resolution Date,Open,NEW!,Investigation,Ready for Refinement,On Hold,Waiting for Answer,In Progress,Code review,Ready for Testing,In Testing,Pending,Canceled,Done,,,,,,
Production bug,PAYLYNX-1017,Not possible to use console for quering data,10/7/25,164.08h,,,,,,4.98h,0.88h,21.00h,1.43h,,,4894.42h,,,,,,
,PAYLYNX-1016,EXP/WARDEN failing andromeda plugin onboarding,11/13/25,173.20h,,,,,,863.88h,46.82h,1.33h,,,,4004.57h,,,,,,
,PAYLYNX-1015,CORE gradle upgrade fails,10/17/25,193.38h,,,,,,245.98h,,,,,,4650.47h,,,,,,
,PAYLYNX-1014,WARDEN decrease nr of pods,10/9/25,191.82h,,,,,,29.68h,0.95h,17.42h,,,,4850.05h,,,,,,
,PAYLYNX-1013,CORE create report about changes,10/2/25,7.62h,,,,,,3.72h,58.50h,0.00h,80.77h,,,5010.83h,,,,,,
,PAYLYNX-1012,Worker: Party MDM trigger changes in core,10/14/25,0.00h,,,,,,10.80h,82.70h,75.37h,266.67h,,,4727.65h,,,,,,
,PAYLYNX-1011,MBBL payments error_EPLV_AUTOTRANSP,,,0.88h,,,,,,,,,,,5184.23h,,,,,,
,PAYLYNX-1010,Test MBBL Andromeda logs move to Logread,12/29/25,551.88h,,,,,,1465.60h,,144.80h,0.00h,144.48h,,2903.23h,,,,,,
,PAYLYNX-1009,invalid query,,,0.08h,,,,0.12h,,,,,,,5210.30h,,,,,,
,PAYLYNX-1008,money comes to wallet with delay,,,27.27h,0.00h,,,378.45h,,,,,,,4851.55h,,,,,,
,PAYLYNX-1007,worker-mbbl-warden logs PV,9/26/25,170.90h,,,,,,,,,,,5156.45h,,,,,,,
Production bug,PAYLYNX-1006,CORE unmapped error,10/8/25,268.40h,,,,,,72.58h,87.80h,2.57h,45.97h,,,4874.50h,,,,,,
,PAYLYNX-1005,009 or API?,,,0.92h,,,,46.45h,,,,,,,5325.33h,,,,,,
Production bug,PAYLYNX-1004,old banklink flow signing issue,,5372.73h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1003,Update Auth Merchants whitelist of trusted domains for PROD,,5373.55h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1002,Create URL validation for vulnerable Auth packets,,5373.68h,,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-1001,WARDEN concurrency issue,,252.48h,,,,,,1.08h,35.18h,0.00h,75.10h,,,5014.28h,,,,,,
,PAYLYNX-1000,Open Model change Swedbank account,,,40.18h,0.22h,,,0.15h,,,,,,,5355.25h,,,,,,
,PAYLYNX-999,KURSI_15.09.2025,,,48.72h,,,,46.37h,,,,,,,5325.32h,,,,,,
,PAYLYNX-998,"ASAP_COMPENSA_money are reserved, MTPL policies not issued",,,0.92h,,,,68.47h,,,,,,,5353.22h,,,,,,
,PAYLYNX-997,Ibank eservice link change,9/17/25,1.22h,,,,,,0.00h,95.30h,26.75h,0.32h,,,5372.80h,,,,,,
Production bug,PAYLYNX-996,REDIRECT case still exists - testing in production,,97.72h,,,,,,2.10h,42.88h,0.00h,0.58h,,,5354.27h,,,,,,
,PAYLYNX-995,009 or API,,,4.55h,0.05h,,,,,,,,,,5493.18h,,,,,,
,PAYLYNX-994,One time report - last trx date for EP agreements,,,29.73h,,,,143.97h,,,,,,,5348.08h,,,,,,
,PAYLYNX-993,CSDD payment_EPLV_CSDD_VAS,,,45.68h,,,,,,,,,,,5493.37h,,,,,,
,PAYLYNX-992,Core: Use one mailing list for incidents email,9/11/25,0.35h,,,,,,1.22h,0.00h,24.82h,0.00h,,,5516.98h,,,,,,
,PAYLYNX-991,Start-up statistics according to sign-up messages,,,22.57h,,,,,,,,,,,5541.37h,,,,,,
,PAYLYNX-990,Statistics on PIS e-comm plugins usability,,,70.82h,,,,,,,,,,5494.60h,,,,,,,
,PAYLYNX-989,ANDROMEDA: Spacetime Helm Chart: Integrated Truststores,9/26/25,236.22h,,,,,,143.00h,36.20h,,,,,5163.25h,,,,,,
,PAYLYNX-988,when this ID was used last time?,,,0.90h,,,,,,,,,,,5586.98h,,,,,,
,PAYLYNX-987,Auth Merchants whitelist of trusted domains,,5590.65h,,,,,,,,,,,,,,,,,,
,PAYLYNX-986,payment from SEB did not succeed with the error 'neleidziamas mokejimo tipas',,,20.13h,31.07h,,,,,,,,,,5540.00h,,,,,,
Production bug,PAYLYNX-985,EXP: swagger styling is off,9/8/25,0.00h,,,,,,0.23h,0.02h,1.03h,0.82h,,,5589.52h,,,,,,
,PAYLYNX-984,PW/SWPay integration AD preparation,9/8/25,0.08h,,,,,,,,,,,5591.95h,,,,,,,
,PAYLYNX-983,Report of vulnerable packet usage on 008,9/11/25,,3.18h,0.48h,,,140.88h,,,,,,,5521.03h,,,,,,
,PAYLYNX-982,Add e-mail to incidents reporting email,,,21.98h,144.73h,,,144.45h,,,,,,,5397.90h,,,,,,
,PAYLYNX-981,WARDEN: upgrade SGW XML model,,5712.62h,,,,,,,,,,,,,,,,,,
,PAYLYNX-980,EXP: update swagger based on recent questions,9/17/25,219.87h,,,,,,93.23h,2.12h,24.33h,1.17h,,,5372.28h,,,,,,
,PAYLYNX-979,CORE: create unique details for refund payment,9/15/25,179.55h,,,,,,10.97h,7.33h,92.33h,3.75h,,,5419.23h,,,,,,
,PAYLYNX-978,FONDS PLECS,,,1.93h,0.82h,,,333.33h,,,,,,,5397.90h,,,,,,
,PAYLYNX-977,FONDS_PLECS3 clients cannot use autentification using bank,,,0.62h,0.10h,,,336.77h,,,,,,,5397.88h,,,,,,
,PAYLYNX-976,payment error,9/11/25,,1.23h,3.78h,,,209.75h,,,,,,,5521.12h,,,,,,
,PAYLYNX-975,Implement logs deletion from Logread after 10 years,3/2/26,4247.65h,,,,,,29.98h,,18.63h,52.58h,,,1387.78h,,,,,,
,PAYLYNX-974,"Sanitize ends , to prevent errors in core",,48.83h,,,,,,162.22h,336.70h,0.00h,0.05h,,,5209.52h,,,,,,
,PAYLYNX-973,MBBL fees: make possible to trigger warden jobs from core console,12/1/25,1566.15h,,,,,,329.52h,199.02h,21.15h,71.42h,,,3573.82h,,,,,,
,PAYLYNX-972,009 Migration report,9/26/25,576.22h,,,,,,0.00h,,24.38h,,,,5161.20h,,,,,,
,PAYLYNX-971,MBBL fees: onboard warden to Pricing Service,10/8/25,601.32h,,,,,,263.90h,22.20h,,,,,4874.42h,,,,,,
,PAYLYNX-970,Go back page could not be found,,,0.48h,0.27h,,,,,,,,,,5832.25h,,,,,,
Production bug,PAYLYNX-969,Ibank banklink auth better label,9/2/25,0.02h,,,,,,0.67h,8.58h,2.03h,95.28h,,,5737.77h,,,,,,
Production bug,PAYLYNX-968,Ibank banklink auth requires strong auth,,727.93h,,,,,,5124.67h,,,,,,,,,,,,
,PAYLYNX-967,closing ID 01.09.2025,9/11/25,,94.67h,0.03h,,,239.77h,,,,,,,5521.87h,,,,,,
,PAYLYNX-966,Warden: move settlement polling to nightly,9/18/25,52.85h,,,,,,450.30h,0.00h,4.92h,21.48h,,,5351.42h,,,,,,
Production bug,PAYLYNX-965,EXP and CORE deployment blocked by coverage,8/28/25,0.38h,,,,,,2.23h,57.22h,,,,,5843.70h,,,,,,
,PAYLYNX-964,Get approval for IPR/PartyMDM related AD changes,9/19/25,27.80h,,,,,,0.00h,,,,545.85h,,5330.20h,,,,,,
,PAYLYNX-963,"Unable to get reports , fees ,transactions , in test",,140.23h,,,,,,300.52h,29.73h,5.22h,0.22h,,,5517.12h,,,,,,
,PAYLYNX-962,"Old tables flow , errors in logs",9/30/25,704.85h,,,,,,47.55h,152.80h,0.00h,22.77h,0.02h,,5067.05h,,,,,,
,PAYLYNX-960,"After switch to new tables! Deadlock for transaction , tech error on page , if some service is down , for example notification center",9/4/25,74.23h,,,,,,1.72h,2.72h,163.05h,74.52h,,,5685.25h,,,,,,
,PAYLYNX-959,EHI review KB0036887 v1.0,9/30/25,745.02h,,,,,,77.13h,0.00h,89.67h,25.25h,,,5065.05h,,,,,,
,PAYLYNX-958,agreement ID EOB - technical error for lager sum payment,,,1.93h,,,,242.48h,,,,,,,5757.98h,,,,,,
,PAYLYNX-957,"Worker ,cannot insert nulls in notification_failure",8/22/25,17.67h,,,,,,0.67h,2.52h,0.02h,1.12h,,,5997.33h,,,,,,
,PAYLYNX-956,"Not possible to make refund , transaction_type name is not valid",8/22/25,1.58h,,,,,,0.08h,16.93h,2.92h,0.00h,,,5998.77h,,,,,,
,PAYLYNX-955,"Payment EXECUTED , but no money on account , merchant AK_DEVELOPMENTS",,499.78h,,,,,,,,,,,5520.80h,,,,,,,
,PAYLYNX-954,one payment missing,,,3.67h,,,,,,,,,,,6020.85h,,,,,,
,PAYLYNX-953,EPLV_CSDD_VAS - No information available about transaction execution,,,18.87h,,,,122.28h,,,,,,,5929.25h,,,,,,
,PAYLYNX-952,Starting account statistics EE,,,1.17h,,,,,,,,,,,6069.98h,,,,,,
,PAYLYNX-951,last time used,,,0.27h,,,,,,,,,,,6072.88h,,,,,,
,PAYLYNX-950,Non-standard report - number of authentications by day (june 2025),,,1.23h,,,,,,,,,,,6073.02h,,,,,,
,PAYLYNX-949,Manual agreement deletion trigger in console improvements,,6092.38h,,,,,,,,,,,,,,,,,,
,PAYLYNX-948,Manual agreement deletion trigger in console,,6092.57h,,,,,,,,,,,,,,,,,,
,PAYLYNX-947,CORE remove restriction for refund for SETTLED status,8/22/25,0.38h,,,,,,0.23h,0.72h,69.33h,23.62h,,,5998.70h,,,,,,
,PAYLYNX-946,Create clean-up task for Worker for packets and payment links,11/14/25,1896.87h,,,,,,3.42h,16.53h,181.70h,10.27h,,,3986.43h,,,,,,
,PAYLYNX-945,Create clean-up task for Worker for Payment transactions,11/4/25,1681.55h,,,,,,71.02h,34.72h,41.82h,40.98h,,,4225.20h,,,,,,
,PAYLYNX-944,Create clean-up task for Worker for Refund transactions,10/16/25,1226.98h,,,,,,120.00h,20.92h,26.52h,21.52h,,,4679.43h,,,,,,
,PAYLYNX-943,Test new EveryPay integration with API v.3+Refund v.3,3/31/26,5495.13h,,,,,,,,,,,694.37h,,,,,,,
,PAYLYNX-942,callback,9/11/25,,0.28h,,,,668.97h,,,,,,,5521.23h,,,,,,
,PAYLYNX-941,009 or API,9/11/25,,0.70h,,,,669.07h,,,,,,,5521.02h,,,,,,
,PAYLYNX-940,Merchant ID: KURSI - rejected transactions for one client,,,0.87h,0.13h,,,0.92h,,,,,,,6213.20h,,,,,,
,PAYLYNX-939,EXP: swagger update for payment ID max length,8/14/25,22.08h,,,,,,0.47h,7.37h,0.00h,1.38h,,,6186.08h,,,,,,
,PAYLYNX-938,closing ID 27.08.2025,9/11/25,,338.87h,0.00h,,,358.15h,,,,,,,5521.22h,,,,,,
,PAYLYNX-937,Change successful payment labels from <add date here>,,6238.35h,,,,,,,,,,,,,,,,,,
,PAYLYNX-936,last payments,,,0.98h,,,,,,,,,,,6239.43h,,,,,,
,PAYLYNX-935,Update AD for SwedPay platform integration,11/13/25,2062.70h,,,,,,161.68h,27.52h,,,,,4006.65h,,,,,,
,PAYLYNX-934,Add mailing groups to incidents reporting email,,,0.00h,163.72h,,,,,,,,,,6099.00h,,,,,,
,PAYLYNX-933,Clean-up of not used 008 payment packets in ibank & banklink common,11/30/25,2066.62h,,,,,,332.70h,142.38h,1.80h,132.90h,,,3586.43h,,,,,,
,PAYLYNX-932,LT/EE agreements switch of Swedbank payment to OB - October 1st,10/1/25,1171.83h,,,,,,49.12h,,,,,,5042.47h,,,,,,
,PAYLYNX-931,Fix autotests,8/21/25,0.00h,,,,,,48.23h,,0.00h,195.70h,,,6022.27h,,,,,,
,PAYLYNX-930,Bank Link ID: RD1,,,22.97h,0.02h,,,0.00h,,,,,,,6243.85h,,,,,,
,PAYLYNX-929,SILUETS_problem with callback,,,1.12h,,,,88.95h,,,,,,,6267.45h,,,,,,
,PAYLYNX-928,"Pin1 is not asked for mobile devices, when the payment was made for the 2nd time",8/12/25,0.00h,,,,,,2.22h,94.30h,25.93h,,,,6237.83h,,,,,,
,PAYLYNX-927,Payment from SEB with response 'netinkamas mokėjimo tipas',8/14/25,,23.92h,,,,141.07h,,,,,,,6216.12h,,,,,,
,PAYLYNX-926,Swedbank payments using version 009,,,47.32h,,,,,,,,,,,6333.85h,,,,,,
,PAYLYNX-925,Close not used EE internal agreement SERT,,,25.07h,,,,,,,,,,,6358.43h,,,,,,
,PAYLYNX-924,invalid request.....,,,26.27h,,,,,,,,,,,6359.35h,,,,,,
,PAYLYNX-923,PIS payments?,,,5.93h,,,,,,,,,,,6379.98h,,,,,,
,PAYLYNX-922,LV client: EPS - Replace calculated fee amount to 0 eur,,,2.25h,,,,,,,,,,,6403.60h,,,,,,
,PAYLYNX-921,MEDON1,,,1.32h,21.45h,,,,,,,,,,6406.45h,,,,,,
Production bug,PAYLYNX-919,CORE dublicate packetID,,2296.63h,,,,,,,,,,,4200.30h,,,,,,,
Production bug,PAYLYNX-918,CORE: Partitioned index creates deadlocks and not performing,,233.92h,,,,,,6264.12h,,,,,,,,,,,,
,PAYLYNX-917,CORE- postmortum of partitioned tables,8/12/25,62.75h,,,,,,192.85h,0.00h,0.00h,0.00h,,,6242.45h,,,,,,
,PAYLYNX-916,Merchant id EPS,9/11/25,,6.68h,63.07h,,,908.95h,,,,,,,5521.13h,,,,,,
,PAYLYNX-915,"Fix for indexes, and deadloacks",8/13/25,238.90h,,,,,,46.08h,,,,,,6218.00h,,,,,,
,PAYLYNX-914,Error in transaction status,9/11/25,,0.45h,71.83h,,,912.10h,,,,,,,5521.18h,,,,,,
,PAYLYNX-913,Warden messageId is limited to 35,8/25/25,0.00h,,,,,,323.95h,4.10h,95.82h,191.27h,,,5900.37h,,,,,,
,PAYLYNX-912,Review service and robots related information.,8/27/25,425.57h,,,,,,217.30h,,,,,,5881.17h,,,,,,
,PAYLYNX-911,Change robots to 009,10/28/25,1098.15h,,,,,,839.60h,150.92h,0.13h,0.18h,47.80h,,4387.62h,,,,,,
,PAYLYNX-910,System documentation creation,1/7/26,2628.30h,,,,,,1185.73h,168.53h,,,,,2521.58h,,,,,,
,PAYLYNX-909,Add new recipients to LT weekly transaction report emails,,,22.18h,14.18h,,,60.65h,,,,,,,6432.52h,,,,,,
,PAYLYNX-908,Report of 008 Migration,,,2.98h,69.78h,,,2.33h,,,,,,,6500.40h,,,,,,
,PAYLYNX-907,Client's question about payment,9/11/25,,4.92h,0.52h,,,1050.80h,,,,,,,5521.20h,,,,,,
,PAYLYNX-906,Swedbank payment API is not working,,,5.95h,0.00h,,,18.03h,,,,,,,6554.50h,,,,,,
,PAYLYNX-905,Block usage for EE 008 exception list,,,0.27h,40.65h,,,,,,,,,6554.62h,,,,,,,
,PAYLYNX-904,integration tests for banklink scope for cross-country Swedbank.,10/7/25,70.97h,,,,,,1130.82h,0.00h,0.00h,388.28h,192.97h,,4889.30h,,,,,,
,PAYLYNX-903,EXP Broken redirect,,0.00h,,,,,,0.13h,1.80h,2.68h,0.00h,,,6668.35h,,,,,,
,PAYLYNX-902,customer monthly identifications volumes are needed for the last 6 months - from the beginning of this year,,,0.55h,17.08h,,,,,,,,,,6674.43h,,,,,,
,PAYLYNX-901,Received client inquiries regarding the made test payment,,,0.82h,,,,20.93h,,,,,,,6674.87h,,,,,,
,PAYLYNX-900,"Star, Validation error in case if refundLimit is null , wrong validation @NotNull",7/24/25,0.02h,,,,,,0.13h,0.95h,0.63h,3.25h,,,6692.15h,,,,,,
Production bug,PAYLYNX-899,CORE app receives REDIRECT method- testing in prod,,0.00h,,,,,,759.87h,0.38h,194.68h,169.37h,,,5590.35h,,,,,,
,PAYLYNX-898,Migrate Ivy to Artifactory,11/26/25,2668.38h,,,,,,211.37h,142.83h,2.10h,4.23h,,,3692.12h,,,,,,
,PAYLYNX-897,"EPLV_APDROSINA1, EXECUTED status, but we see error code field is prefilled with unexpected, PARXLV22",,1220.58h,,,,,,,,,,,5520.82h,,,,,,,
Production bug,PAYLYNX-896,EXP too much space in a view,7/24/25,0.00h,,,,,,25.23h,23.47h,0.40h,1.18h,,,6695.40h,,,,,,
,PAYLYNX-895,"Add new field ""ID code"" to Mobile flow endpoint",,6763.45h,,,,,,,,,,,,,,,,,,
,PAYLYNX-894,MDM AgreementSummary updates fix - remove customer category filtering,,6764.47h,,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-893,EXP exception during locale resolving,7/24/25,97.15h,,,,,,17.52h,5.28h,22.53h,26.32h,,,6691.98h,,,,,,
,PAYLYNX-892,"Remove ""Allow_008"" tag for remaining agreements - 1st August",8/5/25,340.15h,,,,,,42.57h,,96.68h,,,,6410.37h,,,,,,
,PAYLYNX-891,Change keypair instruction in support page only for LV page,,,2.97h,43.78h,,,0.00h,,,,,,,6885.25h,,,,,,
,PAYLYNX-890,"Improvement , force cross payments Swedbank use instant flow",,0.00h,,,,,,2.95h,1.52h,21.58h,43.42h,,,6866.90h,,,,,,
,PAYLYNX-889,Warden: move automatic fee debiting jobs to warden,,7001.57h,,,,,,,,,,,,,,,,,,
,PAYLYNX-888,Warden: move automatic fee debiting jobs to warden,7/11/25,0.03h,,,,,,,,,,,6977.53h,,,,,,,
,PAYLYNX-887,Warden: move automatic fee debiting jobs to warden,7/11/25,0.03h,,,,,,,,,,,6977.53h,,,,,,,
,PAYLYNX-886,identifications volumes,,,64.33h,0.55h,,,2.75h,,,,,,,6936.38h,,,,,,
Spike,PAYLYNX-885,Create new topic in Kafka for triggering tasks,11/5/25,2832.90h,,,,,,,,,,,4200.33h,,,,,,,
,PAYLYNX-884,Test Sandbox: Playground url directs to prod environment,7/14/25,44.00h,,,,,,4.02h,74.97h,0.72h,0.02h,,,6930.92h,,,,,,
,PAYLYNX-883,MBBL old project is not archived,7/14/25,51.57h,,,,,,74.20h,,,,,,6932.43h,,,,,,
,PAYLYNX-882,"identification service does not work. Payment part migrated to 009, but identification left on 008. Error about wrong service request appears. Screens added.",,,0.78h,,,,194.57h,,,,,,,6906.35h,,,,,,
,PAYLYNX-881,SKYTECH1 MBBL,,,0.60h,,,,,,,,,,,7194.33h,,,,,,
,PAYLYNX-880,SKYTECH1 MBBL,,1673.13h,,,,,,,,,,,5521.90h,,,,,,,
,PAYLYNX-879,SKYTECH1 MBBL,,1673.22h,,,,,,,,,,,5521.90h,,,,,,,
,PAYLYNX-878,Merchant ID: EPLV_CSDD_VAS,,,1.53h,,,,642.13h,,,,,,,6554.55h,,,,,,
Production bug,PAYLYNX-877,EXP missing static resource,7/7/25,1.72h,,,,,,0.03h,7.48h,23.55h,77.72h,,,7101.00h,,,,,,
,PAYLYNX-875,issue with MIP payments. All customer agreements,,,0.12h,,,,,,,,,,,7220.10h,,,,,,
,PAYLYNX-874,EXP CORE - no alert about expiring cert,7/9/25,3.15h,,,,,,0.00h,142.77h,18.83h,0.72h,,,7055.88h,,,,,,
,PAYLYNX-873,EXP renovate PR's failing,9/16/25,1829.30h,,,,,,,,,,,0.00h,5397.93h,,,,,,
,PAYLYNX-872,Merchant ID: SKUODO VANDENY1,,,0.25h,,,,1.22h,,,,,,,7243.00h,,,,,,
,PAYLYNX-871,SEB Expiring consent,7/7/25,0.02h,,,,,,36.60h,7.48h,23.53h,78.80h,,,7099.90h,,,,,,
,PAYLYNX-870,closing ID,,,1.30h,,,,,,,,,,,7248.63h,,,,,,
,PAYLYNX-869,"ID ARUODAS, not acceptable payments via phone - customer notice that Samsung only.",,,0.47h,,,,,,,,,,,7269.38h,,,,,,
,PAYLYNX-868,new keys,,,65.45h,1.73h,,,,,,,,,,7272.12h,,,,,,
,PAYLYNX-867,008 or 009?,,,0.17h,,,,,,,,,,,7340.70h,,,,,,
,PAYLYNX-866,when this ID was used last time?,,,1.68h,,,,,,,,,,,7342.58h,,,,,,
,PAYLYNX-865,009 or API,,,0.98h,,,,,,,,,,,7344.52h,,,,,,
,PAYLYNX-864,"Exp:swagger out of boarder, mobile",,1949.15h,,,,,,,,,,,5397.95h,,,,,,,
,PAYLYNX-863,008 blocking from 01.06,,,22.48h,,,,,,,,,,7345.95h,,,,,,,
,PAYLYNX-862,"008 LV, LT Exceptions - 16th July",7/16/25,478.60h,,,,,,1.78h,,1.85h,,,,6886.22h,,,,,,
,PAYLYNX-861,DNS record for playground,6/30/25,42.45h,,,,,,0.17h,,,,74.27h,,7269.37h,,,,,,
,PAYLYNX-860,EXP failing ui test,6/26/25,19.55h,,,,,,,,,,,,7369.70h,,,,,,
,PAYLYNX-859,which ID this client using,,,1.80h,,,,,,,,,,,7388.85h,,,,,,
,PAYLYNX-858,Improve DB queries: Prepare script,7/16/25,359.72h,,,,,,21.17h,,74.32h,46.47h,,,6889.88h,,,,,,
,PAYLYNX-857,Improve DB queries: switch warden,7/10/25,291.73h,,,,,,24.37h,23.47h,17.65h,1.57h,,,7032.77h,,,,,,
,PAYLYNX-856,Exp: restrict creation of new payment packets + warning message,7/25/25,503.13h,,,,,,147.92h,46.57h,22.93h,2.22h,,,6668.80h,,,,,,
,PAYLYNX-855,Implement usage of new tables,7/22/25,319.97h,,,,,,213.90h,87.95h,0.83h,27.13h,,,6741.82h,,,,,,
,PAYLYNX-854,API or still 009/008?,,,2.42h,0.18h,,,,,,,,,,7391.80h,,,,,,
,PAYLYNX-853,CORE failing db tests in integration tests,6/26/25,113.12h,,,,,,3.38h,19.73h,0.00h,,,,7366.13h,,,,,,
,PAYLYNX-852,Fix Mockito warning,,7510.62h,,,,,,,,,,,,,,,,,,
,PAYLYNX-850,Test OpenBanking fix: add missing account types to account selection,8/25/25,1456.05h,,,,,,149.47h,,,,,,5924.95h,,,,,,
,PAYLYNX-849,Fix SWIC DQ endpoint by adding in to scope CL agreements,6/26/25,18.63h,,,,,,3.82h,0.68h,142.35h,0.00h,,,7365.20h,,,,,,
,PAYLYNX-848,CORE- make refund exception return 409,6/19/25,0.03h,,,,,,0.05h,13.83h,3.67h,19.17h,,,7538.53h,,,,,,
,PAYLYNX-847,API payments,,,16.67h,0.22h,,,626.25h,,,,,,,6935.65h,,,,,,
,PAYLYNX-846,payments in 009,,,18.88h,0.00h,,,626.40h,,,,,,,6935.70h,,,,,,
Production bug,PAYLYNX-845,Refund errors are mapped to technical error,6/19/25,0.38h,,,,,,4.78h,12.68h,4.60h,21.30h,,,7537.32h,,,,,,
,PAYLYNX-844,Failing integration tests,6/20/25,8.55h,,,,,,72.45h,,,,,,7502.38h,,,,,,
Production bug,PAYLYNX-843,Warden: notification differs for settled,,0.25h,,,,,,2.15h,0.00h,3.18h,0.00h,,,7577.88h,,,,,,
Production bug,PAYLYNX-842,Worker from executed to in-progress,,2.37h,,,,,,20.27h,0.10h,8.15h,0.37h,,,7574.85h,,,,,,
,PAYLYNX-841,Implement Banklink scope for cross-boarder Swedbank payment,7/28/25,935.43h,,,,,,0.47h,1.32h,67.70h,4.95h,,,6598.37h,,,,,,
,PAYLYNX-840,Introduce Warden business metrics,6/27/25,77.33h,,,,,,161.45h,1.58h,16.73h,7.18h,,,7344.35h,,,,,,
Production bug,PAYLYNX-839,CORE: Refund is using same endtoendID,6/17/25,0.00h,,,,,,3.70h,0.02h,23.25h,3.35h,,,7579.72h,,,,,,
Production bug,PAYLYNX-838,WORKER payment stayed in IN_PROGRESSS,6/16/25,6.28h,,,,,,0.00h,,,,,,7603.83h,,,,,,
,PAYLYNX-837,"please unblock V008 usage till 30.06.2025, merchant ID: LOTOSS-IMS",,,0.25h,,,,,,,,,,,7675.80h,,,,,,
Production bug,PAYLYNX-836,EXP strange gaps in payment request page,6/27/25,114.95h,,,,,,171.62h,5.17h,2.97h,38.25h,,,7344.18h,,,,,,
,PAYLYNX-835,Warden: move remaining fee management jobs to warden,,7677.67h,,,,,,,,,,,,,,,,,,
,PAYLYNX-834,Monitor & manage exception tags for 008 payment restriction in EE,7/2/25,430.05h,,,,,,22.65h,,,,,,7225.98h,,,,,,
,PAYLYNX-833,Adjust MBBL fee engine to calculate and debit Refund transaction fees,11/17/25,1824.02h,,,,,,899.50h,258.65h,149.82h,636.22h,,,3914.25h,,,,,,
Production bug,PAYLYNX-832,CORE nullserializable exception,6/17/25,0.02h,,,,,,17.10h,0.00h,5.45h,90.95h,,,7585.95h,,,,,,
,PAYLYNX-831,STAR: Fix typo in LT MBBL agreement blank text,,116.72h,,,,,,0.03h,0.50h,6.83h,0.03h,,,7575.85h,,,,,,
Production bug,PAYLYNX-830,WARDEN: infinite retry,6/27/25,24.20h,,,,,,96.65h,18.02h,214.77h,7.23h,,,7339.33h,,,,,,
Production bug,PAYLYNX-829,CORE No label for PublicKeyLoadingException:PUBLIC_KEY_LOADING_ERROR,6/26/25,165.25h,,,,,,0.18h,1.03h,3.58h,161.10h,,,7370.52h,,,,,,
Production bug,PAYLYNX-828,EXP: No static resource,,139.63h,,,,,,55.13h,0.28h,1.67h,113.80h,,,7391.65h,,,,,,
,PAYLYNX-827,"please unblock V008 usage till 30.06.2025, merchant ID: LNA",,,0.83h,,,,,,,,,,,7702.00h,,,,,,
,PAYLYNX-826,Add proper handling of errors for refund,,0.00h,,,,,,28.67h,72.37h,26.12h,2.17h,,,7575.35h,,,,,,
,PAYLYNX-825,API payments,,,2.17h,,,,,,,,,,,7704.25h,,,,,,
,PAYLYNX-824,when those ID was used last time,,,17.07h,,,,,,,,,,,7706.48h,,,,,,
,PAYLYNX-823,Merchant ID: ATTOLLO,,,7.05h,,,,,,,,,,,7722.87h,,,,,,
,PAYLYNX-822,Merchant ID: SILUETS,7/21/25,,23.40h,,,,953.27h,,,,,,,6746.45h,,,,,,
,PAYLYNX-821,Merchant ID: CITY24,,,1.92h,48.72h,,,,,,,,,,7700.55h,,,,,,
,PAYLYNX-820,ibank: Payment PDF using deprecated code,7/1/25,197.73h,,,,,,214.95h,94.95h,0.00h,0.15h,,,7246.43h,,,,,,
,PAYLYNX-819,Add possibility to console calculate fees for particular merchant,,7755.08h,,,,,,,,,,,,,,,,,,
,PAYLYNX-818,MerchantID: VILOMIX_BALTIC,7/18/25,,64.47h,936.25h,,,,,,,,,,6818.40h,,,,,,
,PAYLYNX-817,Urgent. Please whitelist Merchant ID LETPORTAL (version 008) till 20th June,,,0.62h,,,,934.58h,,,,,,,6935.52h,,,,,,
,PAYLYNX-816,GERDUVA MBBL,,23.62h,0.98h,0.00h,,,910.03h,,,,,,,6936.15h,,,,,,
Spike,PAYLYNX-815,Investigate needed activities for migration to GitHub Ent. Cloud,10/22/25,3274.33h,,,,,,78.47h,,,,,,4537.43h,,,,,,
,PAYLYNX-814,Reports: add MBBL API versioning to our internal reports,,7891.13h,,,,,,,,,,,,,,,,,,
,PAYLYNX-813,Report of Migration,7/14/25,,289.03h,1.82h,,,668.52h,,,,,,,6912.63h,,,,,,
,PAYLYNX-812,Onboard production worker to SGW,6/13/25,2.07h,,,,,,22.90h,20.72h,128.83h,39.27h,,,7682.38h,,,,,,
,PAYLYNX-811,Merchant ID: RD1,,,0.17h,,,,960.00h,,,,,,,6936.15h,,,,,,
,PAYLYNX-810,Accessibility testing-UI dropdown leftover,7/30/25,21.40h,,,,,,28.27h,,,,1293.03h,,6553.95h,,,,,,
,PAYLYNX-809,Report of Migration,,293.97h,,,,,,,,,,,0.00h,7605.75h,,,,,,
,PAYLYNX-808,"please unblock V008 usage till 30.06, merchant ID: SILUETS",,,0.55h,,,,979.87h,,,,,,,6935.52h,,,,,,
,PAYLYNX-807,Lost customer in March,,,17.05h,,,,1.27h,,,,,,,7898.50h,,,,,,
,PAYLYNX-806,"please unblock V008 usage till 30.06, merchant ID: SALEKAFE",,,1.65h,,,,979.23h,,,,,,,6936.15h,,,,,,
Spike,PAYLYNX-805,PW/Swedbank Pay Gateway analyses,11/17/25,4011.00h,,,,,,,,,,,3908.08h,,,,,,,
