Type,Key,Summary,Resolution Date,Open,NEW!,Investigation,Ready for Refinement,On Hold,Waiting for Answer,In Progress,Code review,Ready for Testing,In Testing,Pending,Canceled,Done,,,,,
,PAYLYNX-1420,Add e-invoices prod namespace to andromeda portal,4/20/26,118.05h,,,,,,0.00h,,,,,,216.00h,,,,,
,PAYLYNX-1419,EPLV_BILETES; EPLV_STAVV_WEB; EPLV_STAVV_APP,,,22.45h,24.47h,,,,,,,,,,307.70h,,,,,
,PAYLYNX-1418,MBBL: DB change of execution plan,,307.75h,,,,,,48.58h,,,,,,,,,,,
Test,PAYLYNX-1417,MBBL UI-test add all fields validations,,23.33h,,,,,,,,,,,333.08h,,,,,,
Production bug,PAYLYNX-1416,MB CORE Weekly report cannot be triggered,4/22/26,141.62h,,,,,,23.10h,22.98h,,,,,169.62h,,,,,
,PAYLYNX-1415,PIS service complaint - RĪGAS SATIKSME info needed,,,1.28h,0.00h,,,358.60h,,,,,,,,,,,,
,PAYLYNX-1414,report for Tpilet,,,0.35h,,,,,,,,,,,361.75h,,,,,
,PAYLYNX-1413,EINVOICE not possible to nullify field,,362.12h,,,,,,,,,,,,,,,,,
,PAYLYNX-1412,EINVOICE not possible to nullify field,,362.15h,,,,,,,,,,,,,,,,,
,PAYLYNX-1411,STAR: failing envoiced in star-insurance,,0.00h,,,,,,163.63h,,0.00h,0.00h,,,217.03h,,,,,
,PAYLYNX-1410,MEDON_Delayed/missing callbacks from Swedbank Banklink integration,,,0.43h,,,,,,,,,,,384.05h,,,,,
,PAYLYNX-1409,Merchant ID_SSSIA_not receiving background (backend) confirmations from bank side,,,3.03h,,,,23.25h,,,,,,,360.55h,,,,,
,PAYLYNX-1408,ETOIMIK missing debtor name payments,,,0.77h,,,,,,,,,,,453.13h,,,,,
,PAYLYNX-1407,E-Invoice - ibank cleanup from EMAIL schema and it's references,,458.27h,,,,,,,,,,,,,,,,,
,PAYLYNX-1406,WARDEN: payment status not updated to SETTLED,,2.05h,,,,,,1.08h,0.00h,117.10h,29.43h,,,309.27h,,,,,
,PAYLYNX-1405,shopify plugin data,,,0.45h,,,,259.18h,,,,,,,218.10h,,,,,
,PAYLYNX-1404,ANDPAY_problem with VK_MAC,,,2.33h,,,,,,,,,,,477.47h,,,,,
,PAYLYNX-1403,label changes,,481.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-1402,VK_SND_NAME_different information,,,1.22h,,,,,,,,,,,499.62h,,,,,
,PAYLYNX-1401,ANDPAY_ we are no longer receiving the debtor field even for Swedbank payments,,,1.37h,,,,,,,,,,,499.58h,,,,,
Spike,PAYLYNX-1400,E-invoice application & Automated Payment Agreement via API,4/13/26,0.50h,,,,,,120.98h,,,,,,379.85h,,,,,
,PAYLYNX-1399,ResponsePayloadV3 errorMessage should include rejectionReason if available for REJECTED status,4/15/26,0.35h,,,,,,20.33h,4.70h,115.82h,25.07h,,,335.17h,,,,,
Production bug,PAYLYNX-1398,E-invoice SGW failing on delivery report xml,,0.00h,,,,,,1.02h,3.63h,189.13h,119.40h,,,189.12h,,,,,
,PAYLYNX-1397,last time used,,,3.18h,0.00h,,,,,,,,,,501.83h,,,,,
,PAYLYNX-1396,Authentication error_GS_CORE,,,27.83h,,,,,,,,,,,477.42h,,,,,
,PAYLYNX-1395,EI CORE: create manual trigger API,,505.62h,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-1394,"E-Invoice - ""seller reports"" under-performing report functionality",,506.55h,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-1393,"E-Invoice - ""list of payments"" payment update not reflected in e-invoice table",,2.33h,,,,,,,,,,,504.75h,,,,,,
,PAYLYNX-1392,special price,,,0.58h,0.90h,,,22.18h,,,,,,,500.92h,,,,,
,PAYLYNX-1391,E-invoice: Regression testing Sprint 5,4/7/26,0.07h,,,,,,,,,,,525.73h,,,,,,
,PAYLYNX-1390,E-invoice: Regression testing Sprint 5,,525.80h,,,,,,,,,,,,,,,,,
,PAYLYNX-1389,E-invoice: Regression testing Sprint 3,,525.82h,,,,,,,,,,,,,,,,,
,PAYLYNX-1388,E-invoice: Regression testing Sprint 2,,523.43h,,,,,,2.37h,,,,,,,,,,,
,PAYLYNX-1387,E-invoice: Regression testing Sprint 1,4/16/26,187.78h,,,,,,27.23h,90.67h,0.00h,,0.85h,,219.25h,,,,,
,PAYLYNX-1386,E-invoice: Procurement number (placeholder),,527.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-1385,last time used?,,,5.72h,20.93h,,,,,,,,,,501.87h,,,,,
,PAYLYNX-1384,Banklink payment error,,,0.75h,384.18h,,,216.23h,,,,,,,25.85h,,,,,
,PAYLYNX-1383,E-invoice: in LT add additional reference number validation pattern option,4/2/26,3.67h,,,,,,0.00h,,0.00h,,,,642.83h,,,,,
,PAYLYNX-1382,MB EXP: RU removal from pi.swedbank.com - 21st of May,,649.17h,,,,,,,,,,,,,,,,,
,PAYLYNX-1381,Prestashop 9,,,17.68h,0.07h,,,119.50h,,,,,,,530.18h,,,,,
,PAYLYNX-1380,STAR: no error visible in open model bic validation ,,692.88h,,,,,,,,,,,,,,,,,
,PAYLYNX-1379,E-invoice: Add Alerts,,709.83h,,,,,,,,,,,,,,,,,
,PAYLYNX-1378,E-invoice: Configure Helm profile for prod,,709.92h,,,,,,,,,,,,,,,,,
,PAYLYNX-1377,E-invoice: Order firewalls for prod,,709.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-1376,E-invoice: Configure a dashboard in Andromeda portal,,710.05h,,,,,,,,,,,,,,,,,
,PAYLYNX-1375,E-invoice: Order load balancer for prod,,591.08h,,,,,,119.00h,,,,,,,,,,,
,PAYLYNX-1374,E-invoice: Order namespace for prod,4/15/26,345.55h,,,,,,7.28h,,17.98h,5.22h,,,334.05h,,,,,
,PAYLYNX-1373,E-invoice (LT): update service id on 7th of April (INC08686275),4/7/26,210.47h,,,,,,0.00h,,0.00h,0.00h,,,528.67h,,,,,
,PAYLYNX-1372,"CORE: create alert for increasing ""no answer"" metric",4/1/26,138.08h,,,,,,,,,,,672.32h,,,,,,
,PAYLYNX-1369,E-invoice: endpoint for mass automated payment agreement creation,,671.55h,,,,,,166.25h,,,,,,,,,,,
,PAYLYNX-1368,E-invoice: finalize configuration of mTLS by ordering firewall from SGW,,840.92h,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-1367,Failing UI tests,4/6/26,0.00h,,,,,,299.10h,,1.88h,4.55h,,,547.80h,,,,,
,PAYLYNX-1366,EINVOICE CORE no examples in swagger,,0.00h,,,,,,0.10h,15.05h,0.08h,0.00h,,,843.02h,,,,,
,PAYLYNX-1365,MBBL system documentation improvements at the end of PI:2 2026,,859.22h,,,,,,,,,,,,,,,,,
,PAYLYNX-1364,Merchant ID - BITFLAKE,,,18.93h,,,,341.08h,,,,,,,500.90h,,,,,
,PAYLYNX-1363,test for RUS removal in LV,,,25.48h,170.72h,,,159.43h,,,,,,,506.58h,,,,,
,PAYLYNX-1362,Assign ownership of e-invoices packages in ibank repo,,864.07h,,,,,,,,,,,,,,,,,
,PAYLYNX-1361,E-invoice: SkyVault common performance testing on 25th of March,3/25/26,30.00h,,,,,,0.00h,,0.00h,,,,835.93h,,,,,
,PAYLYNX-1360,E-invoice: test out all the connections for autotests,,879.35h,,,,,,,,,,,,,,,,,
,PAYLYNX-1357,e-invoice: replace old library with new one Vol3,4/7/26,0.00h,,,,,,0.00h,6.23h,346.88h,,,,530.03h,,,,,
,PAYLYNX-1355,E-invoice: Docker-in-Docker runner for autotests,,884.92h,,,,,,,,,,,,,,,,,
,PAYLYNX-1354,E-invoice: 02.04 run performance tests in part of common REL292 performance testing,4/2/26,238.55h,,,,,,1.13h,,0.00h,,,,645.98h,,,,,
,PAYLYNX-1353,"E-invoice: Regression testing, needs to be done before 03.04",4/3/26,266.27h,,,,,,0.00h,,,,,,619.48h,,,,,
,PAYLYNX-1352,Sandbox: Jenkins migration,,888.08h,,,,,,,,,,,,,,,,,
,PAYLYNX-1351,E-invoice: SkyVault regression testing on PI2,,888.10h,,,,,,,,,,,,,,,,,
,PAYLYNX-1350,Regression testing for Skyvault (E-commerce PIS),,888.17h,,,,,,,,,,,,,,,,,
,PAYLYNX-1349,E-invoice: SkyVault common performance testing on PI2 (date not clear yet),,888.33h,,,,,,,,,,,,,,,,,
,PAYLYNX-1348,E-invoice: Implement AgreementSummary sending in case of agreement creation and change (Automated payment agreement),,721.68h,,,,,,0.00h,1.22h,165.65h,,,,,,,,,
,PAYLYNX-1347,MBBL Worker: Authentication usage cleanup,,890.92h,,,,,,,,,,,,,,,,,
,PAYLYNX-1346,Statement API cant handle load,,0.17h,,,,,,5.37h,60.97h,5.90h,25.17h,,,858.30h,,,,,
,PAYLYNX-1371,E-Invoice Applications and Agreements Details - After logged out/login returns to unfunctional view,3/18/26,1003.50h,,,,,,,,,,,,,,,,,
,PAYLYNX-1345,EINVOICE LIB Failing bean creation,3/23/26,0.00h,,,,,,73.95h,0.25h,54.43h,,,,876.93h,,,,,
,PAYLYNX-1344,Update RC signup packet to support 009,,510.28h,,,,,,305.45h,143.23h,48.57h,,,,,,,,,
,PAYLYNX-1343,Over 1200 new home insurance contracts don't have SOA.,,,244.03h,,,,,,,,,,,786.47h,,,,,
,PAYLYNX-1342,E-invoice: SkyVault common performance testing on 18th March,3/19/26,22.50h,,,,,,27.48h,,,,,,981.32h,,,,,
,PAYLYNX-1341,everypay is not getting status CANCELLED_BY_USER,,,165.93h,,,,866.40h,,,,,,,,,,,,
,PAYLYNX-1340,Sharecapital data received from Registry Centre via sign-up LT,,,90.70h,,,,960.47h,,,,,,,,,,,,
,PAYLYNX-1359,E-Invoice Application Page - Error with Ecoservice provider,3/16/26,1052.55h,,,,,,,,,,,,,,,,,
,PAYLYNX-1339,E-invoice: create swic endpoint,,1052.60h,,,,,,,,,,,,,,,,,
,PAYLYNX-1338,E-invoice: Implement AgreementSummary sending in case of agreement creation and change for Operator agreement,,744.33h,,,,,,139.85h,2.78h,18.18h,147.47h,,,,,,,,
,PAYLYNX-1337,E-invoice: Implement AgreementSummary sending in case of agreement creation and change,4/8/26,215.00h,,,,,,330.95h,1.07h,,,,,505.63h,,,,,
,PAYLYNX-1336,when client used this ID last time?,,,1.93h,,,,189.48h,,,,,,,862.12h,,,,,
,PAYLYNX-1335,identification transactions month by month is needed for the period 2025 August – 2026 January,,,5.33h,0.08h,,,,,,,,,,1050.85h,,,,,
Production bug,PAYLYNX-1334,EXP DEMO non-valid iban,3/20/26,2.32h,,,,,,4.05h,100.05h,,,,,950.35h,,,,,
,PAYLYNX-1333,Bankl link paymens does not work since Friday,,,2.70h,20.42h,,,0.00h,,,,,,,1035.15h,,,,,
,PAYLYNX-1332,Merchant ZZDATS,,,1.47h,,,,261.02h,,,,,,,862.12h,,,,,
,PAYLYNX-1331,ATTOLLO_No payment status updates are being returned from Swedbank,,,0.60h,94.52h,,,15.60h,,,,,,,1035.15h,,,,,
,PAYLYNX-1330,3003 auth failing,3/16/26,0.00h,,,,,,4.87h,84.30h,0.97h,0.02h,,,1055.72h,,,,,
,PAYLYNX-1329,please check this payment,,,2.38h,22.05h,,,261.13h,,,,,,,862.08h,,,,,
,PAYLYNX-1328,ERGOAP_we are not receiving the client’s name and surname from the web service,,,4.28h,23.45h,,,259.70h,,,,,,,862.12h,,,,,
,PAYLYNX-1327,E-invoice: 19th March run performance tests in part of common REL291 performance testing,3/19/26,170.58h,,,,,,0.85h,,,,,,980.95h,,,,,
,PAYLYNX-1326,failed payment,,,7.20h,22.07h,,,260.97h,,,,,,,862.25h,,,,,
,PAYLYNX-1325,Create new Operator using PAYWERK merchant public key,,,295.20h,,,,189.48h,,,,,,,693.88h,,,,,
,PAYLYNX-1324,Improve integration tests run time,,0.00h,,,,,,187.20h,,,0.00h,,,1008.28h,,,,,
,PAYLYNX-1323,POstconstruct stop DEMO from starting,,18.50h,,,,,,55.82h,,67.73h,78.57h,,,975.88h,,,,,
,PAYLYNX-1358,E-Invoices: Insecure Direct Object Reference (IDOR),,0.00h,,,46.18h,,,1153.38h,,,,,,,,,,,
,PAYLYNX-1322,E-invoice: create Oracle DB user for core-e-invoice-baltic (TEST),4/21/26,0.03h,,,,,,11.70h,49.45h,150.93h,473.55h,338.92h,,191.80h,,,,,
,PAYLYNX-1321,"E-invoice: Regression testing, needs to be done before 23.03",3/23/26,66.77h,,,,,,129.48h,,,,140.98h,,883.25h,,,,,
,PAYLYNX-1320,Core: implement possibility to delete Operators public key,,1319.65h,,,,,,,,,,,,,,,,,
,PAYLYNX-1319,DZELZCEL_V008 or V009?,,,1.52h,0.00h,,,195.28h,,,,,,,1123.28h,,,,,
,PAYLYNX-1318,when client using authentication service last time,,,20.17h,0.00h,,,195.30h,,,,,,,1123.23h,,,,,
,PAYLYNX-1317,MBCORE demo not starting,3/10/26,0.00h,,,,,,142.48h,,,,,,1196.52h,,,,,
,PAYLYNX-1316,when was done last payment,,,22.53h,0.00h,,,195.27h,,,,,,,1123.28h,,,,,
Spike,PAYLYNX-1315,Investigate for MBBL to migrate to OffsetDateTime,,1343.63h,,,,,,,,,,,,,,,,,
,PAYLYNX-1314,company PIS payment received to private customer account,,,25.12h,0.00h,,,195.30h,,,,,,,1123.25h,,,,,
,PAYLYNX-1313,Order new terminal server to Azure,,508.48h,,,,,,338.48h,,,,499.98h,,,,,,,
,PAYLYNX-1312,E-invoice: Add additional Service id label to Star LV,4/2/26,703.75h,,,,,,,,,,,643.48h,,,,,,
,PAYLYNX-1311,E-invoice: use Client for automated payment agreement endpoint in lib-e-invoice-baltic library,,1363.87h,,,,,,,,,,,,,,,,,
,PAYLYNX-1310,E-invoice: use Client for operator endpoint in lib-e-invoice-baltic library,,1363.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-1309,E-invoice: configure mTLS for all environments,3/25/26,233.83h,,,,,,287.72h,0.02h,2.23h,,,,840.70h,,,,,
,PAYLYNX-1308,E-invoice: create client for local seller endpoint in lib-e-invoice-baltic library,4/15/26,526.57h,,,,,,314.55h,66.45h,96.55h,27.87h,,,332.53h,,,,,
,PAYLYNX-1307,MCORE failing ui tests,3/5/26,9.07h,,,,,,46.15h,0.15h,0.00h,1.42h,,,1321.15h,,,,,
,PAYLYNX-1306,e-invoice: replace old library with new one Vol2,3/23/26,5.87h,,,,,,68.82h,480.28h,192.73h,91.47h,327.00h,,217.07h,,,,,
,PAYLYNX-1305,Core contract tests no validation,3/6/26,7.77h,,,,,,5.38h,12.63h,49.30h,18.73h,,,1297.25h,,,,,
,PAYLYNX-1304,Refund testing in Everypay - failed payment,,1.75h,9.20h,0.00h,,,521.17h,,,,,,,862.13h,,,,,
Production bug,PAYLYNX-1303,"E-invoice: in Ibank LV, Automatic payment agreement pdf wrong language is used in some fields",,1427.22h,,,,,,,,,,,,,,,,,
,PAYLYNX-1302,POS application update in iBank,3/25/26,619.98h,,,,,,,,,,,841.60h,,,,,,
,PAYLYNX-1301,CORE: change officer email,2/27/26,0.28h,,,,,,0.00h,17.00h,,,,,1465.25h,,,,,
,PAYLYNX-1300,Onboard to Greenfield,,2.17h,,,,,,1482.32h,,2.10h,,,,,,,,,
Spike,PAYLYNX-1299,E-invoice: Preparation for meeting with Rasa,4/2/26,866.68h,,,,,,,,,,,642.90h,,,,,,
,PAYLYNX-1298,e-invoice: replace old library with new one Vol1,3/23/26,0.22h,,,,,,46.93h,500.05h,,,80.77h,,883.18h,,,,,
,PAYLYNX-1297,why PIS payment do not working?,,,3.63h,,,,19.80h,,,,,,,1488.83h,,,,,
,PAYLYNX-1296,E-invoice: follow-up finalization of Onboarding to needed applications,3/7/26,3.45h,,,,,,43.83h,0.32h,11.93h,92.92h,96.12h,,1264.00h,,,,,
,PAYLYNX-1295,E-invoice: Regression testing towards SkyVault,,315.33h,,,,,,1130.95h,67.42h,,,,,,,,,,
,PAYLYNX-1294,INBOKSS_not receiving a callback from the client,,,31.80h,60.52h,,,577.70h,,,,,,,862.13h,,,,,
,PAYLYNX-1370,E-Invoice Automated Payment History - cancel button not working,,1485.85h,,,,72.02h,,,,,,,,,,,,,
,PAYLYNX-1356,E-invoice Application Page - agreement name issue,,1561.78h,,,,,,,,,,,,,,,,,
,PAYLYNX-1293,WARDEN: add Operator based pricing support to fee engine,,1625.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-1292,STAR: add support for Operator pricing to agreement management,,1626.08h,,,,,,,,,,,,,,,,,
,PAYLYNX-1291,E-Invoice: improving autotests with Baltic data model library,,1626.35h,,,,,,,,,,,,,,,,,
,PAYLYNX-1290,E-Invoice: make new autotests functioning,,1626.42h,,,,,,,,,,,,,,,,,
,PAYLYNX-1289,E-Invoice: create Star users for autotests,3/20/26,288.23h,,,,,,353.88h,0.25h,22.78h,,,,961.30h,,,,,
,PAYLYNX-1288,E-Invoice: create project in GitHub,3/9/26,280.90h,,,,,,120.07h,,2.17h,6.20h,,,1217.22h,,,,,
,PAYLYNX-1287,E-invoice lib feature flag,3/16/26,119.83h,,,,,,284.73h,48.87h,120.88h,5.30h,,,1051.05h,,,,,
,PAYLYNX-1286,E-invoice: endpoint for automated payment agreement creation,,1128.38h,,,,,,163.32h,123.13h,1.53h,214.80h,,,,,,,,
,PAYLYNX-1285,E-invoice: endpoint for Operator agreement creation,3/24/26,583.08h,,,,,,76.53h,21.25h,60.87h,23.17h,,,866.28h,,,,,
,PAYLYNX-1284,E-invoice: endpoint for LocalSeller agreement creation,3/23/26,266.77h,,,,,,224.28h,84.88h,98.33h,74.23h,,,883.55h,,,,,
,PAYLYNX-1283,Closed firewall to openbanking Greenfield,2/23/26,19.22h,,,,,,69.28h,,,,,,1561.38h,,,,,
,PAYLYNX-1282,authentication service ,,,153.53h,0.00h,,,377.07h,,,,,,,1123.27h,,,,,
,PAYLYNX-1281,how many payments was done in february,,,156.50h,,,,12.65h,,,,,,,1487.68h,,,,,
,PAYLYNX-1280,E-invoice: SkyVault performance testing in GATE - middle of March,3/23/26,790.75h,,,,,,,,,,,884.90h,,,,,,
,PAYLYNX-1279,used last time?,,,10.58h,158.88h,,,,,,,,,,1508.60h,,,,,
,PAYLYNX-1278,last time used?,,,10.62h,158.88h,,,,,,,,,,1508.58h,,,,,
Production bug,PAYLYNX-1277,"When the details/message is too long, the view is broken",2/19/26,21.10h,,,,,,5.13h,0.77h,0.02h,0.15h,,,1651.88h,,,,,
Spike,PAYLYNX-1276,E-invoice: List down all the places where agreement is changed,,1680.95h,,,,,,,,,,,,,,,,,
,PAYLYNX-1275,EPS_LOG files for the payments,,,29.87h,158.92h,,,,,,,,,,1508.55h,,,,,
,PAYLYNX-1274,E-invoice: preparation to Perform SkyVault performance tests,2/25/26,44.27h,,,,,,148.03h,,21.12h,22.92h,,,1513.27h,,,,,
,PAYLYNX-1273,merchant cannot pay 10k - pis payment dont go,,,77.93h,214.87h,,,646.25h,,,,,,,862.30h,,,,,
,PAYLYNX-1272,CORE: Implement support for operator based standard prices,,1801.60h,,,,,,,,,,,,,,,,,
Production bug,PAYLYNX-1271,Ibank Auth 3003 Missing name,,0.00h,,,,,,0.22h,1.93h,0.00h,0.00h,,,1822.57h,,,,,
,PAYLYNX-1270,COMPENSA_The VK_INFO field is missing the customer's name and surname,,,4.25h,312.35h,,,,,,,,,,1508.53h,,,,,
,PAYLYNX-1269,VK_INFO field is missing the customer's NAME and SURNAME,,,4.67h,312.33h,,,,,,,,,,1508.53h,,,,,
Production bug,PAYLYNX-1268,CORE/EXp logread qouta exceeded,3/16/26,0.00h,,,,,,34.22h,,,,754.65h,,1056.68h,,,,,
,PAYLYNX-1267,problems with payments,,,2.97h,334.72h,,,646.38h,,,,,,,862.13h,,,,,
,PAYLYNX-1266,Banklink test migrate stub tabs creation to github,2/13/26,3.08h,,,,,,33.17h,11.30h,1.18h,1.48h,,,1797.37h,,,,,
,PAYLYNX-1265,E-invoice: Filebarn integration,,1848.17h,,,,,,,,,,,,,,,,,
,PAYLYNX-1264,CORE merchantid generator exclude common parts,,1848.28h,,,,,,,,,,,,,,,,,
,PAYLYNX-1263,E-invoice: create Oracle DB user for core-e-invoice-baltic,3/9/26,344.28h,,,,,,183.13h,95.98h,8.80h,0.17h,,,1216.28h,,,,,
,PAYLYNX-1262,E-invoice: Create roles for einvoices schema data access,3/10/26,402.68h,,,,,,150.62h,88.80h,8.58h,14.87h,,,1201.40h,,,,,
,PAYLYNX-1261,CORE: errors in test environment,,22.67h,,,,,,26.52h,18.70h,0.63h,0.65h,,,1798.70h,,,,,
,PAYLYNX-1260,Find out how to fix LV client EPS expiring special price issue,,,27.85h,719.95h,,,,,,,,,,1123.28h,,,,,
,PAYLYNX-1259,iBank: send authentication metadata to mbbl-core API (step 2),3/2/26,361.02h,,,,,,116.95h,,1.98h,4.58h,,,1387.10h,,,,,
,PAYLYNX-1258,E-invoice: Onboard to needed applications,2/25/26,91.37h,,,,,,283.83h,,0.00h,,,,1513.20h,,,,,
,PAYLYNX-1257,last usage,,,0.37h,0.00h,,,1027.55h,,,,,,,862.32h,,,,,
,PAYLYNX-1256,FONDS_PLECS3,,,1.28h,0.00h,,,406.85h,,,,,,,1487.67h,,,,,
,PAYLYNX-1255,Prod: expiring certificate prod-worker-mbbl-warden.w863.sb,2/11/26,0.07h,,,,,,46.33h,0.70h,,,,,1849.05h,,,,,
,PAYLYNX-1254,CORE no validation for operator id,2/9/26,66.82h,,,,,,0.03h,1.25h,4.03h,0.02h,,,1892.00h,,,,,
,PAYLYNX-1253,E-invoice: Increase duplicate e-invoice check for the e-invoice sent by Operator,4/2/26,1340.02h,,,,,,,,,,,643.32h,,,,,,
Production bug,PAYLYNX-1252,E-invoice: Star - Update Seller Elisa additional information,,136.67h,,,,,,75.43h,0.23h,140.47h,0.12h,,,1630.52h,,,,,
,PAYLYNX-1251,E-invoice: Create AD amendment for W712 project,2/25/26,138.67h,,,,,,331.53h,,,,,,1513.42h,,,,,
,PAYLYNX-1250,E-invoice: create new application in Andromeda,2/11/26,21.25h,,,,,,117.38h,,,,,,1848.20h,,,,,
,PAYLYNX-1249,Spring Boot Admin 403 TEST/PROD,2/6/26,0.00h,,,,,,0.32h,23.37h,0.00h,1.33h,,,1962.42h,,,,,
,PAYLYNX-1248,Warden: Update mTLS DEV certificate,2/6/26,0.05h,,,,,,0.77h,,23.82h,1.65h,0.62h,,1962.37h,,,,,
,PAYLYNX-1247,CORE: Access denied for Mac users locally,,1705.52h,,,,,,283.90h,,,,,,,,,,,
,PAYLYNX-1246,Core: implement usage of new limits table,,1991.17h,,,,,,,,,,,,,,,,,
,PAYLYNX-1245,LT inactive PIS agreements (EP solution) closing,,,92.55h,0.00h,,,428.88h,,,,,,,1487.67h,,,,,
,PAYLYNX-1244,E-invoice: GitHub migration - switching and archiving,,2010.25h,,,,,,,,,,,,,,,,,
,PAYLYNX-1243,Warden: Update replica set to 2,2/4/26,0.00h,,,,,,0.02h,0.97h,,,,,2011.75h,,,,,
,PAYLYNX-1242,E-invoice: Regression testing,3/4/26,625.03h,,,,,,44.73h,,,,,,1345.72h,,,,,
,PAYLYNX-1241,E-invoice: GitHub migration (einvoice-generator),3/11/26,852.45h,,,,,,,,,,,1176.90h,,,,,,
,PAYLYNX-1240,E-invoice: GitHub migration (einvoice-payments-machine),,2029.60h,,,,,,,,,,,,,,,,,
,PAYLYNX-1239,E-invoice: GitHub migration (einvoice-components),2/25/26,218.32h,,,,,,299.52h,,,,,,1511.82h,,,,,
,PAYLYNX-1238,Needed to check what version is used for customer authentication service,,,117.62h,0.00h,,,428.85h,,,,,,,1487.70h,,,,,
,PAYLYNX-1237,when this ID was used last time,,,3.93h,0.05h,,,568.52h,,,,,,,1487.67h,,,,,
,PAYLYNX-1236,Update standard inquiry template to adapt to E-Invoice,,2060.22h,,,,,,,,,,,,,,,,,
,PAYLYNX-1235,PIS does not work (seems like this affects all merchants),,,49.02h,0.00h,,,568.55h,,,,,,,1487.70h,,,,,
